Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million),Budget collect, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
What Men Want,45,49,47,32,27,5,30,18,Fantasy,"Fantasy, Comedy, Romance",remake / reboot,18.2,"1,82,32,087",54.6,"5,45,84,109",15.7,"1,56,72,610","7,02,56,719",70,22.31%,20,351%,91.16%,2019,,,https://www.amazon.co.uk/What-Men-Want-Taraji-Henson/dp/B07PRQVBFY/ref=sr_1_1?keywords=What+Men+Want&qid=1557072759&s=instant-video&sr=1-1
Forgetting Sarah Marshall,85,67,76,75,75,0,75,1,comedy,"comedy, romance",original screenplay,17.7,"1,77,30,000",63.2,"6,31,70,000",42.0,"4,20,00,000","10,51,70,000",105,39.94%,30,351%,59.10%,2008,,,http://www.amazon.com/gp/product/B001L2IFVM/?tag=titb-20
Diary of a Wimpy Kid: Dog Days,51,54,52.5,64,71,-7,67.5,-15,comedy,"comedy, family",adaptation,14.6,"1,46,23,599",49.0,"4,90,08,662",28.1,"2,81,03,514","7,71,12,176",77,36.44%,22,351%,66.47%,2012,,,http://www.amazon.com/gp/product/B00APVBKR6/?tag=titb-20
Remember Me,28,40,34,70,80,-10,75,-41,romance,romance,original screenplay,8.0,"80,00,000",19.1,"1,90,70,000",37.0,"3,69,60,000","5,60,30,000",56,65.96%,16,350%,50.00%,2010,,,http://www.amazon.com/gp/product/B003JHB7WG/?tag=titb-20
The Equalizer,61,57,59.0,77,68,9,72.5,-13.5,action,"action, thriller, crime",adaptation,34.1,"3,41,37,828",101.5,"10,15,30,738",90.8,"9,08,00,000","19,23,30,738",192,47.21%,55,350%,62.07%,2014,,,http://www.amazon.com/gp/product/B00NY4UIKG/?tag=titb-20
Dr. Seuss' Horton Hears a Who!,79,71,75,75,77,-2,76,-1,animation,"animation, adventure, comedy",adaptation,45.0,"4,50,00,000",154.5,"15,45,30,000",142.6,"14,26,10,000","29,71,40,000",297,47.99%,85,350%,52.94%,2008,,,http://www.amazon.com/gp/product/B001N4Q4MA/?tag=titb-20
Batman v Superman,27,44,35.5,64,70,-6,67,-31.5,Action,Action,sequel,166.0,"16,60,07,347",330.4,"33,03,60,194",542.9,"54,29,00,000","87,32,60,194",873,62.17%,250,349%,66.40%,2016,,,https://www.amazon.com/Batman-v-Superman-Dawn-Justice/dp/B01DAWJ7C6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219522&sr=1-1&keywords=Batman+v+Superman3A+Dawn+of+Justice
Earth to Echo,48,53,50.5,47,47,0,47,3.5,adventure,"adventure, sci-fi, family",original screenplay ,8.4,"83,64,658",38.9,"3,89,34,842",6.4,"64,01,862","4,53,36,704",45,14.12%,13,349%,64.34%,2014,,,http://www.amazon.com/gp/product/B00NMUU0SW/?tag=titb-20
Live Free or Die Hard,79,69,74.0,86,69,17,77.5,-3.5,action,action,sequel,33.4,"3,33,69,559",134.5,"13,45,29,403",249.0,"24,90,02,043","38,35,31,446",384,64.92%,110,349%,30.34%,2007,,,http://www.amazon.co.uk/Live-Free-Die-Hard-4-0/dp/B00GKRGLQY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386218&sr=1-1&keywords=Live+Free+or+Die+Hard
Safe Haven,12,34,23.0,67,54,13,60.5,-37.5,Drama,"Drama, Mystery, Thriller, Romance",adaptation,21.4,"2,14,01,594",71.3,"7,13,49,120",26.2,"2,62,45,020","9,75,94,140",98,26.89%,28,349%,76.43%,2013,,,http://www.amazon.com/gp/product/B00COGXGNQ/?tag=titb-20
Gnomeo and Juliet,56,53,54.5,52,59,-7,55.5,-1,animation,"animation, comedy, family",original screenplay,25.4,"2,53,60,000",100.0,"9,99,70,000",94.0,"9,40,00,000","12,53,30,100",125,75.00%,36,348%,70.44%,2011,,,http://www.amazon.com/gp/product/B004Z2TUDW/?tag=titb-20
My Sister's Keeper ,47,51,49,73,65,8,69,-20,drama,drama ,adaptation,12.4,"1,24,00,000",49.2,"4,92,00,000",46.5,"4,65,10,000","9,57,10,000",96,48.59%,28,348%,45.09%,2009,,,http://www.amazon.com/gp/product/B002XCTO5A/?tag=titb-20
The Lobster,90,82,86.0,65,67,-2,66,20,romance,"romance, comedy",original screenplay,0.2,"1,90,252",9.2,"91,96,278",6.5,"64,59,915","1,56,56,193",16,41.26%,5,348%,4.23%,2016,,,https://www.amazon.com/Lobster-Colin-Farrell/dp/B01I0QTVEQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218150&sr=1-1&keywords=The+Lobster
An Education,94,85,89.5,78,79,-1,78.5,11,drama,drama ,adaptation,0.8,"7,60,000",12.6,"1,25,70,000",13.5,"1,35,20,000","2,60,90,000",26,51.82%,8,348%,10.13%,2009,,,http://www.amazon.com/gp/product/B003EJ41KO/?tag=titb-20
Anchorman 2: The Legend Continues,75,61,68.0,53,62,-9,57.5,10.5,Comedy,Comedy,sequel,26.2,"2,62,32,425",127.4,"12,73,52,707",46.3,"4,62,96,308","17,36,49,015",174,26.66%,50,347%,52.46%,2013,,,http://www.amazon.com/gp/product/B00HVNZT3M/?tag=titb-20
Spectre,64,60,62.0,65,67,-2,66,-4.0,action,action,sequel,70.4,"7,04,03,148",196.5,"19,64,89,955",653.9,"65,39,00,000","85,03,89,955",850,76.89%,245,347%,28.74%,2015,Oscar Winner,Original Song,http://www.amazon.com/gp/product/B017HYSN0A/?tag=titb-20
The Wedding Ringer,27,35,31,65,31,34,48,-17,comedy,comedy,original screenplay,20.6,"2,06,49,306",64.5,"6,44,60,211",15.3,"1,53,39,669","7,97,99,880",80,19.22%,23,347%,89.78%,2015,,,http://www.amazon.com/gp/product/B00SBZL7F8/?tag=titb-20
Piranha 3-D,74,53,63.5,45,57,-12,51,12.5,comedy,"comedy, horror",remake / reboot,10.1,"1,01,00,000",25.0,"2,50,00,000",58.2,"5,81,90,000","8,31,90,000",83,69.95%,24,347%,42.08%,2010,,,http://www.amazon.com/gp/product/B004HGWYX4/?tag=titb-20
Jason Bourne,56,58,57.0,59,65,-6,62,-5.0,Action,Action,sequel,59.2,"5,92,15,365",162.2,"16,21,92,920",253.1,"25,30,50,504","41,52,43,424",415,60.94%,120,346%,49.35%,2016,,,https://www.amazon.com/Jason-Bourne-Matt-Damon/dp/B01J2KIHOO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219479&sr=1-1&keywords=Jason+Bourne
The Wolverine,69,60,64.5,70,67,3,68.5,-4,Action,"Action, Adventure, Sci-Fi, Fantasy",adaptation,53.1,"5,31,13,752",132.6,"13,25,56,852",282.3,"28,22,71,394","41,48,28,246",415,68.05%,120,346%,44.26%,2013,,,http://www.amazon.com/gp/product/B008ASLK8A/
Pirates of the Caribbean: Dead Men Tell No Tales,30,39,35,62,63,-1,62.5,-28,adventure,"period, adventure",sequel,63.0,"6,29,83,253",172.6,"17,25,58,876",622.3,"62,23,02,918","79,48,61,794",795,78.29%,230,346%,27.38%,2017,,,https://www.amazon.co.uk/Pirates-Caribbean-Salazars-Revenge-Theatrical/dp/B072C4F1BX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977688&sr=1-1&keywords=Pirates+of+the+Caribbean+Dead+Men+Tell+No+Tales
Money Monster,58,55,56.5,53,66,-13,59.5,-3.0,thriller,thriller,original screenplay,14.8,"1,47,88,157",41.0,"4,10,12,075",52.3,"5,22,70,529","9,32,82,604",93,56.03%,27,345%,54.77%,2016,,,https://www.amazon.com/Money-Monster-George-Clooney/dp/B01ESAOAP8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218958&sr=1-1&keywords=Money+Monster
Spider-Man 3,61,59,60.0,51,66,-15,58.5,1.5,action,"action, adventure",sequel,151.1,"15,11,16,516",336.5,"33,65,30,303",554.3,"55,43,41,323","89,08,71,626",891,62.22%,258,345%,58.57%,2007,,,http://www.amazon.co.uk/Spider-Man-3-Tobey-Maguire/dp/B00FZ7VVX8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386525&sr=1-1&keywords=Spider-Man+3
Quarantine,59,53,56,46,60,-14,53,3,horror,"horror, thriller",remake / reboot,14.2,"1,42,00,000",31.7,"3,16,90,000",9.6,"96,30,000","4,13,20,000",41,23.31%,12,344%,118.33%,2008,,,http://www.amazon.com/gp/product/B001PPNAQ0/?tag=titb-20
Red,71,60,65.5,72,70,2,71,-5.5,action,"action, comedy, crime",adaptation,21.8,"2,18,00,000",90.4,"9,03,80,000",108.6,"10,86,30,000","19,90,10,000",199,54.59%,58,343%,37.59%,2010,,,http://www.amazon.com/gp/product/B004HWYTP4/?tag=titb-20
Love & Other Drugs,48,55,51.5,55,61,-6,58,-6.5,comedy,"comedy, romance",adaptation,9.7,"97,40,000",32.4,"3,23,70,000",70.4,"7,04,40,000","10,28,10,000",103,68.51%,30,343%,32.47%,2010,,,http://www.amazon.com/gp/product/B00BN4QOW0/?tag=titb-20
Eat Pray Love	,36,50,43.0,46,48,-2,47,-4,romance,romance,adaptation,23.1,"2,31,00,000",80.6,"8,05,70,000",124.0,"12,40,20,000","20,45,90,000",205,60.62%,60,341%,38.50%,2010,,,http://www.amazon.com/gp/product/B00493FLVC/?tag=titb-20
The Bounty Hunter,7,22,14.5,41,37,4,39,-24.5,action,"action, comedy, romance",original screenplay,20.7,"2,07,00,000",67.1,"6,70,60,000",69.3,"6,92,70,000","13,63,30,000",136,50.81%,40,341%,51.75%,2010,,,http://www.amazon.com/gp/product/B003VMZSB0/?tag=titb-20
Slender Man,7,29,18,22,24,-2,23,-5,Horror,Horror,original screenplay,11.4,"1,13,71,866",25.7,"2,56,55,606",8.4,"84,04,628","3,40,60,234",341,24.68%,10,341%,113.72%,2018,,,https://www.amazon.com/Slender-Man-Joey-King/dp/B07GRW3MBK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974813&sr=1-1&keywords=Slender+Man
The Happening,19,34,26.5,29,53,-24,41,-14.5,sci-fi,"sci-fi, thriller",original screenplay,30.5,"3,05,20,000",64.5,"6,45,10,000",98.9,"9,89,00,000","16,34,10,000",163,60.52%,48,340%,63.58%,2008,,,http://www.amazon.com/gp/product/B009MY8AZ2/?tag=titb-20
Divergent,40,48,44.0,70,59,11,64.5,-20.5,action,"action, adventure, sci-fi, drama, romance",adaptation,54.6,"5,46,07,747",150.9,"15,09,47,895",137.8,"13,78,00,000","28,87,47,895",289,47.72%,85,340%,64.24%,2014,,,http://www.amazon.com/gp/product/B00J59ZKV6/?tag=titb-20
Going in Style ,48,50,49,58,58,0,58,-9,comedy,comedy,remake / reboot,11.9,"1,19,32,330",45.0,"4,50,18,541",39.9,"3,99,00,000","8,49,18,541",85,46.99%,25,340%,47.73%,2017,,,https://www.amazon.co.uk/Going-Style-Morgan-Freeman/dp/B06Y1BJKSP/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980067&sr=1-1&keywords=Going+in+Style
The American,66,61,63.5,37,60,-23,48.5,15,crime,"crime, thriller",adaptation,13.1,"1,31,00,000",35.6,"3,56,10,000",32.3,"3,22,70,000","6,78,80,000",68,47.54%,20,339%,65.50%,2010,,,http://www.amazon.com/gp/product/B004B8DH98/?tag=titb-20
Grown Ups	,10,30,20.0,59,50,9,54.5,-34.5,comedy,comedy,original screenplay,40.5,"4,05,00,000",162.0,"16,20,00,000",109.4,"10,94,30,000","27,14,30,000",271,40.32%,80,339%,50.63%,2010,,,http://www.amazon.com/gp/product/B00493F28Y/?tag=titb-20
Hotel for Dogs ,46,51,48.5,57,47,10,52,-3.5,comedy,"comedy, family",adaptation,17.0,"1,70,00,000",73.0,"7,30,00,000",44.0,"4,39,70,000","11,82,00,000",118,37.20%,35,338%,48.57%,2009,,,http://www.amazon.com/gp/product/B0026OFZXU/?tag=titb-20
Sisters,59,58,58.5,63,63,0,63,-4.5,comedy,comedy,original screenplay,13.9,"1,39,22,855",86.1,"8,61,26,310",15.1,"1,51,00,000","10,12,26,310",101,14.92%,30,337%,46.41%,2015,,,http://www.amazon.com/gp/product/B019EJYASU/?tag=titb-20
127 Hours,93,82,87.5,84,79,5,81.5,6,adventure,"adventure, biography",adaptation,2.1,"21,30,000",18.3,"1,83,30,000",42.4,"4,24,00,000","6,07,30,000",61,69.82%,18,337%,11.83%,2010,,,http://www.amazon.com/gp/product/B004Q3SGWG/?tag=titb-20
Smokin' Aces,27,45,36,62,60,2,61,-25,action,"action, comedy",original screenplay,14.6,"1,46,38,755",35.8,"3,57,87,686",21.3,"2,13,16,209","5,71,03,895",57,37.33%,17,336%,86.11%,2007,,,http://www.amazon.co.uk/Smokin-Aces-Ben-Affleck/dp/B011IZUCC6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386516&sr=1-1&keywords=smokin27+aces
Vacation,26,34,30,52,61,-9,56.5,-26.5,comedy,comedy,sequel,14.7,"1,46,81,108",58.9,"5,88,84,188",45.2,"4,52,00,000","10,40,84,188",104,43.43%,31,336%,47.36%,2015,,,http://www.amazon.com/gp/product/B012Y4GPYE/?tag=titb-20
Nick and Norah's Infinite Playlist,73,64,68.5,67,61,6,64,4.5,comedy,"comedy, music ",adaptation,11.3,"1,13,10,000",31.5,"3,14,90,000",2.0,"20,20,000","3,35,10,000",34,6.03%,10,335%,113.10%,2008,,,http://www.amazon.com/gp/product/B001PNV9FG/?tag=titb-20
The Peanut Butter Falcon,95,70,83,96,78,18,87,-5,Adventure,Adventure,original screenplay,0.2,"2,04,793",20.4,"2,04,37,883",0.3,"3,15,805","2,07,53,688",21,1.52%,6,335%,3.30%,2019,,,-
The Expendables,40,45,42.5,58,63,-5,60.5,-18,action,"action, adventure, thriller",original screenplay,34.8,"3,48,00,000",103.1,"10,30,70,000",171.4,"17,14,00,000","27,44,70,000",274,62.45%,82,335%,42.44%,2010,,,http://www.amazon.com/gp/product/B004AQR29C/?tag=titb-20
The Great Gatsby,48,55,51.5,68,72,-4,70,-18.5,Drama,"Drama, Romance",adaptation,50.1,"5,00,85,185",144.8,"14,48,40,419",206.2,"20,62,00,000","35,10,40,419",351,58.74%,105,334%,47.70%,2013,,,http://www.amazon.com/gp/product/B00ESY77LO/?tag=titb-20
Last Christmas,47,50,49,81,49,32,65,-17,Romance,"Romance, Comedy",original screenplay,11.4,"1,14,41,055",32.3,"3,22,80,165",51.3,"5,13,00,000","8,35,80,165",84,61.38%,25,334%,45.76%,2019,,,https://www.amazon.co.uk/Last-Christmas-Emilia-Clarke/dp/B0812N3TFJ/ref=sr_1_1?keywords=Last+Christmas&qid=1577973651&s=instant-video&sr=1-1
Warm Bodies,81,59,70.0,73,69,4,71,-1,Drama,"Drama, Horror, Comedy, Romance",adaptation,20.4,"2,03,53,987",66.4,"6,63,80,662",50.6,"5,06,00,000","11,69,80,662",117,43.26%,35,334%,58.15%,2013,,,http://www.amazon.com/gp/product/B00CL50LEC/?tag=titb-20
Shaun the Sheep Movie,99,81,90.0,82,89,-7,85.5,4.5,animation,animation,adaptation,4.0,"40,38,962",19.4,"1,93,75,982",64.1,"6,41,00,000","8,34,75,982",83,76.79%,25,334%,16.16%,2015,,,http://www.amazon.com/gp/product/B013G1EFIC/?tag=titb-20
Angel Has Fallen,39,45,42,93,66,27,80,-38,thriller,Thriller,sequel,21.4,"2,13,80,987",69.0,"6,90,30,436",64.3,"6,43,35,016","13,33,65,452",133,48.24%,40,333%,53.45%,2019,,,https://www.amazon.co.uk/Angel-Has-Fallen-Gerard-Butler/dp/B07WSB42PD/ref=sr_1_1?keywords=Angel+Has+Fallen&qid=1577973072&s=instant-video&sr=1-1
Next Day Air ,21,46,33.5,27,62,-35,44.5,-11,action,"action, comedy, crime",original screenplay,4.1,"41,00,000",10.0,"1,00,00,000",0.2,"1,50,000","1,00,00,000",10,1.50%,3,333%,136.67%,2009,,,http://www.amazon.com/gp/product/B002LFIGYY/?tag=titb-20
47 Meters Down: Uncaged,42,43,43,68,55,13,62,-19,thriller,Thriller,sequel,8.4,"84,27,265",22.3,"2,22,60,900",17.6,"1,76,49,616","3,99,10,516",40,44.22%,12,333%,70.23%,2019,,,https://www.amazon.co.uk/47-Metres-Down-Uncaged-DVD/dp/B081KQ2NTY/ref=sr_1_2?crid=3AEN2LCEDK0HJ&keywords=47+meters+down+uncaged+movie&qid=1577972928&s=instant-video&sprefix=47+Meters+Down3A+Uncaged2Cinstant-video2C226&sr=1-2-catcorr
Ready Player One,72,64,68,78,74,4,76,-8,Adventure,Adventure,adaptation,41.8,"4,17,64,050",137.0,"13,70,18,455",445.0,"44,50,00,000","58,20,18,455",582,76.46%,175,333%,23.87%,2018,,,https://www.amazon.com/Ready-Player-One-Tye-Sheridan/dp/B07BDRR6S1/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975225&sr=1-2&keywords=Ready+Player+One
Rings,7,25,16,24,39,-15,31.5,-16,horror,horror,sequel,13.0,"1,30,02,632",27.8,"2,77,93,018",55.3,"5,52,87,872","8,30,80,890",83,66.55%,25,332%,52.01%,2017,,,https://www.amazon.co.uk/Rings-Matilda-Lutz/dp/B06WW7DBPK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978704&sr=1-1&keywords=Rings
Zero Dark Thirty,93,95,94.0,80,66,14,73,21,thriller,"history, thriller",based on a true story,0.4,"4,17,150",95.7,"9,57,20,716",37.1,"3,71,00,000","13,28,20,716",133,27.93%,40,332%,1.04%,2012,,,http://www.amazon.com/gp/product/B00BF11UM0/?tag=titb-20
Pain & Gain,49,45,47.0,47,65,-18,56,-9,Action,"Action, Drama, Thriller, Comedy, Crime",adaptation,20.2,"2,02,44,505",49.9,"4,98,75,291",36.3,"3,63,00,000","8,61,75,291",86,42.12%,26,331%,77.86%,2013,,,http://www.amazon.com/gp/product/B00ESY863M/?tag=titb-20
Sunshine Cleaning ,72,61,66.5,59,64,-5,61.5,5,comedy,comedy,original screenplay,0.9,"9,00,000",12.1,"1,20,60,000",4.5,"45,10,000","1,65,70,000",17,27.22%,5,331%,18.00%,2009,,,http://www.amazon.com/gp/product/B005K1P8EM/?tag=titb-20
A Good Day to Die Hard,14,28,21.0,41,47,-6,44,-23,Action,"Action, Thriller, Crime",sequel,24.8,"2,48,34,845",67.3,"6,73,49,198",237.3,"23,73,04,984","30,46,54,182",305,77.89%,92,331%,26.99%,2013,,,http://www.amazon.com/gp/product/B00CFQMVLS/?tag=titb-20
The Smurfs 2,14,34,24.0,57,35,22,46,-22,Fantasy,"Fantasy, Comedy, Animation, Family",sequel,17.5,"1,75,48,389",71.0,"7,10,17,784",276.5,"27,65,27,576","34,75,45,360",348,79.57%,105,331%,16.71%,2013,,,http://www.amazon.com/gp/product/B00FPTW1A8/?tag=titb-20
No Reservations,39,50,44.5,62,66,-4,64,-19.5,romance,romantic comedy,original screenplay,11.7,"1,17,04,357",43.1,"4,31,07,979",49.5,"4,94,93,071","9,26,01,050",93,53.45%,28,331%,41.80%,2007,,,http://www.amazon.co.uk/No-Reservations-Catherine-Zeta-Jones/dp/B00ESZTLGC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386333&sr=1-1&keywords=No+Reservations
A Nightmare on Elm Street,13,35,24.0,40,53,-13,46.5,-22.5,horror,"horror, mystery, thriller",remake / reboot,32.9,"3,29,00,000",63.1,"6,30,80,000",52.6,"5,25,90,000","11,56,70,000",116,45.47%,35,330%,94.00%,2010,,,http://www.amazon.com/gp/product/B0041VMSL8/?tag=titb-20
Godzilla,74,62,68.0,67,68,-1,67.5,0.5,action,"action, adventure, sci-fi, thriller, fantasy",remake / reboot,93.2,"9,31,88,384",200.7,"20,06,76,069",328.0,"32,80,00,000","52,86,76,069",529,62.04%,160,330%,58.24%,2014,,,http://www.amazon.com/gp/product/B00NM7IR26/?tag=titb-20
Role Models,77,60,68.5,75,75,0,75,-6.5,comedy,comedy,original screenplay,19.2,"1,91,70,000",67.3,"6,72,90,000",25.1,"2,50,90,000","9,23,80,000",92,27.16%,28,330%,68.46%,2008,,,http://www.amazon.com/gp/product/B0027C5IMY/?tag=titb-20
Captain Underpants,86,69,78,61,67,-6,64,14,animation,animation,adaptation,23.9,"2,38,51,539",73.9,"7,39,21,000",51.4,"5,13,68,450","12,52,89,450",125,41.00%,38,330%,62.77%,2017,,,https://www.amazon.co.uk/Captain-Underpants-First-Epic-Movie/dp/B079HNQQWV/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981307&sr=1-1&keywords=Captain+Underpants3A+The+First+Epic+Movie
Smurfs: The Lost Village,37,40,39,55,55,0,55,-17,animation,animation,adaptation,13.2,"1,32,10,449",45.0,"4,50,20,282",152.2,"15,21,63,264","19,71,83,546",197,77.17%,60,329%,22.02%,2017,,,https://www.amazon.co.uk/Smurfs-Lost-Village-Mandy-Patinkin/dp/B0728HMKDT/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978620&sr=1-1&keywords=Smurfs3A+The+Lost+Village
The Hurt Locker ,97,94,95.5,83,71,12,77,18.5,thriller,"thriller, war",original screenplay,0.1,"1,40,000",17.0,"1,70,10,000",32.2,"3,22,10,000","4,92,20,000",49,65.44%,15,328%,0.93%,2009,Oscar Winner,"Best Picture, Best Director, Best Original Screenplay",http://www.amazon.com/gp/product/B0030MM68O/?tag=titb-20
Street Kings,37,55,46,62,74,-12,68,-22,action,"action, crime",original screenplay,12.5,"1,25,00,000",26.4,"2,64,20,000",39.2,"3,91,50,000","6,55,70,000",66,59.71%,20,328%,62.50%,2008,,,http://www.amazon.com/gp/product/B001G8JQ6Y/?tag=titb-20
The Mummy,16,34,25,36,48,-12,42,-17,action,"action, adventure",remake / reboot,31.7,"3,16,88,375",80.1,"8,01,01,125",329.0,"32,90,03,712","40,91,04,837",409,80.42%,125,327%,25.35%,2017,,,https://www.amazon.co.uk/Mummy-Tom-Cruise/dp/B071ZQWYL7/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546978596&sr=1-2&keywords=The+Mummy
War for the Planet of the Apes,93,82,88,84,81,3,82.5,5,sci-fi,"sci-fi, action",sequel,56.3,"5,62,62,929",146.9,"14,68,80,162",343.8,"34,37,84,076","49,06,64,238",491,70.07%,150,327%,37.51%,2017,,,https://www.amazon.co.uk/War-Planet-Apes-Matt-Reeves/dp/B073XTBHJX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981573&sr=1-1&keywords=War+for+the+Planet+of+the+Apes
The Amazing Spider-Man,73,66,69.5,77,72,5,74.5,-5,action,"action, adventure, fantasy",adaptation,62.0,"6,20,04,688",262.0,"26,20,30,663",490.2,"49,01,85,894","75,22,16,557",752,65.17%,230,327%,26.96%,2012,,,http://www.amazon.com/gp/product/B00JPNZPCG/?tag=titb-20
The Roommate,4,23,13.5,29,39,-10,34,-20.5,horror,"horror, thriller",original screenplay,15.0,"1,50,00,000",37.3,"3,73,00,000",3.2,"31,90,000","5,23,00,037",52,6.10%,16,327%,93.75%,2011,,,http://www.amazon.com/gp/product/B004XWLI4I/?tag=titb-20
Gamer ,29,27,28,43,54,-11,48.5,-20.5,action,"action, sci-fi, thriller",original screenplay,9.2,"91,50,000",20.5,"2,05,30,000",20.3,"2,02,90,000","4,08,20,000",41,49.71%,13,327%,73.20%,2009,,,http://www.amazon.com/gp/product/B002Z8L5ZE/?tag=titb-20
London Has Fallen,26,28,27.0,53,51,2,52,-25.0,Action,Action,sequel,21.6,"2,16,35,601",62.5,"6,25,24,260",133.2,"13,32,01,324","19,57,25,584",196,68.06%,60,326%,36.06%,2016,,,https://www.amazon.com/London-Has-Fallen-Gerard-Butler/dp/B01CIPPE28/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219140&sr=1-1&keywords=London+Has+Fallen
A Dog’s Journey,50,43,47,92,70,22,81,-35,Drama,Drama,adaptation,8.0,"80,30,085",22.5,"2,25,46,590",49.2,"4,92,00,000","7,17,46,590",72,68.57%,22,326%,36.50%,2019,,,https://www.amazon.co.uk/Dogs-Journey-Marg-Helgenberger/dp/B07WZ116NH/ref=sr_1_1?keywords=A+DogE28099s+Journey&qid=1577972984&s=instant-video&sr=1-1
Super 8,82,72,77.0,78,73,5,75.5,1.5,sci-fi,"mystery, sci-fi, thriller",original screenplay,35.5,"3,54,50,000",127.0,"12,70,00,000",133.1,"13,30,90,000","16,24,50,127",162,81.93%,50,325%,70.90%,2011,,,http://www.amazon.com/gp/product/B0068TJLSY/?tag=titb-20
The Bank Job,78,69,73.5,74,76,-2,75,-1.5,crime,"crime, thriller",based on a true story,5.9,"59,40,000",30.1,"3,00,60,000",34.8,"3,47,60,000","6,48,20,000",65,53.63%,20,324%,29.70%,2008,,,http://www.amazon.com/gp/product/B008Y71JCE/?tag=titb-20
Angels & Demons ,36,48,42.0,65,62,3,63.5,-21.5,thriller,"mystery, thriller",sequel,46.2,"4,62,00,000",133.4,"13,34,00,000",352.6,"35,26,00,000","48,59,00,000",486,72.57%,150,324%,30.80%,2009,,,http://www.amazon.com/gp/product/B002Q31MXS/?tag=titb-20
The Boy in the Striped Pyjamas,63,55,59,84,78,6,81,-22,drama,"history, war",adaptation,1.0,"10,30,000",9.1,"90,50,000",31.4,"3,13,70,000","4,04,20,000",40,77.61%,13,323%,8.24%,2008,,,http://www.amazon.com/gp/product/B00628RVV0/?tag=titb-20
The Upside,40,46,43,85,53,32,69,-26,Comedy,"Comedy, Drama",remake / reboot,20.4,"2,03,55,000",107.8,"10,78,39,886",13.2,"1,32,00,000","12,10,39,886",121,10.91%,38,323%,54.28%,2019,,,https://www.amazon.co.uk/Upside-Bryan-Cranston/dp/B07Q1DHGH8/ref=sr_1_1?crid=HLLYD728UVEG&keywords=the+upside&qid=1557072629&s=instant-video&sprefix=The+Upside2Cinstant-video2C141&sr=1-1
Alien vs. Predator - Requiem,14,29,21.5,31,45,-14,38,-16.5,sci-fi,"sci-fi, horror",sequel,10.1,"1,00,59,425",41.8,"4,17,97,066",87.1,"8,70,86,650","12,88,83,716",129,67.57%,40,322%,25.15%,2007,,,http://www.amazon.co.uk/Aliens-Vs-Predator-John-Ortiz/dp/B00FYJ2744/ref=sr_1_sc_1?s=instant-video&ie=UTF8&qid=1457385617&sr=1-1-spell&keywords=AAlien+vs.+Predator+-+Requiem
Everest,72,64,68.0,73,72,1,72.5,-4.5,thriller,thriller,based on a true story,13.2,"1,32,42,895",42.4,"4,23,90,910",134.5,"13,44,95,740","17,68,86,650",177,76.03%,55,322%,24.08%,2015,,,http://www.amazon.com/gp/product/B018JQRT6Y/?tag=titb-20
Saving Mr. Banks,80,65,72.5,84,77,7,80.5,-8,Biography,"Biography, Drama, History, Comedy, Music, Family",based on a true story,0.4,"4,13,373",83.3,"8,33,01,580",29.2,"2,92,43,000","11,25,44,580",113,25.98%,35,322%,1.18%,2013,,,http://www.amazon.com/gp/product/B00J2PEU3W/?tag=titb-20
Into The Storm,22,44,33.0,43,52,-9,47.5,-14.5,action,"action, thriller",original screenplay ,17.3,"1,73,46,427",47.6,"4,76,02,194",113.0,"11,30,00,000","16,06,02,194",161,70.36%,50,321%,34.69%,2014,,,http://www.amazon.com/gp/product/B00YIHMBFI/?tag=titb-20
The Duchess,60,62,61,68,80,-12,74,-13,biography,"biography, history",adaptation,3.3,"33,00,000",13.9,"1,38,50,000",29.5,"2,94,60,000","4,33,10,000",43,68.02%,14,321%,24.44%,2008,,,http://www.amazon.com/gp/product/B0026SH3LS/?tag=titb-20
